Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
Picked up _JAVA_OPTIONS: -Dawt.useSystemAAFontSettings=lcd                       -Dswing.aatext=true                       -Dsun.java2d.xrender=true
table tweets already exists
MB171
( "Ron Weasley birthday" )^5.0 OR ( ( ( Ron weaslei~0 ) OR RonWeasley ) birthdai~0 )
Reading ../tmp/cache_2014/48b38d7b729e377418b2b015ee39a6ebf5c78703.
Read 10000 results.
MB171 307360182604820481 1 66.746056 qlbaseline 1362115352
MB171 307585630601371648 2 66.700165 qlbaseline 1362169103
MB171 307592941277433856 3 66.325806 qlbaseline 1362170846
MB171 307462808801513472 4 66.277946 qlbaseline 1362139820
MB171 307102899790569472 5 65.670166 qlbaseline 1362054011
MB171 307568475902193664 6 65.670166 qlbaseline 1362165013
MB171 307469041541468160 7 65.628914 qlbaseline 1362141306
MB171 307494886838530048 8 65.628914 qlbaseline 1362147468
MB171 307695965991735296 9 65.628914 qlbaseline 1362195409
MB171 302635714372333568 10 12.580883 qlbaseline 1360988951
MB171 299651936842571777 11 11.416964 qlbaseline 1360277563
MB171 297987456635117569 12 11.392029 qlbaseline 1359880720
MB171 307575501373992961 13 11.391461 qlbaseline 1362166688
MB171 307216821277310977 14 11.131790 qlbaseline 1362081172
MB171 300671001728000000 15 11.129307 qlbaseline 1360520527
MB171 300656200016592896 16 11.126812 qlbaseline 1360516998
MB171 307541481390997504 17 11.122228 qlbaseline 1362158577
MB171 303560243818938368 18 11.112360 qlbaseline 1361209376
MB171 307577934087069697 19 10.952495 qlbaseline 1362167268
MB171 307630518067929088 20 10.951029 qlbaseline 1362179805
MB171 307635123401129984 21 10.951029 qlbaseline 1362180903
MB171 307519343858688000 22 10.951029 qlbaseline 1362153299
MB171 307597580177653760 23 10.948770 qlbaseline 1362171952
MB171 307630455149191168 24 10.948770 qlbaseline 1362179790
MB171 307587392213221376 25 10.948770 qlbaseline 1362169523
MB171 307554106216701952 26 10.948770 qlbaseline 1362161587
MB171 299228458914037760 27 10.948770 qlbaseline 1360176598
MB171 307410191257841664 28 10.948770 qlbaseline 1362127275
MB171 307404910641704961 29 10.948770 qlbaseline 1362126016
MB171 307665343382441985 30 10.948770 qlbaseline 1362188108
MB171 307349038309732352 31 10.945029 qlbaseline 1362112695
MB171 307600151294382080 32 10.945029 qlbaseline 1362172565
MB171 307534271374061568 33 10.945029 qlbaseline 1362156858
MB171 307655801345024001 34 10.945029 qlbaseline 1362185833
MB171 307615959626158080 35 10.945029 qlbaseline 1362176334
MB171 307557520413687809 36 10.945029 qlbaseline 1362162401
MB171 307261754851864576 37 10.945029 qlbaseline 1362091885
MB171 307407506920067073 38 10.945029 qlbaseline 1362126635
MB171 307488347935358976 39 10.938151 qlbaseline 1362145910
MB171 307397692240297984 40 10.938151 qlbaseline 1362124295
MB171 307510921696264193 41 10.938151 qlbaseline 1362151291
MB171 307551811961778176 42 10.938151 qlbaseline 1362161040
MB171 307496547812270080 43 10.938151 qlbaseline 1362147864
MB171 307557365186699264 44 10.938151 qlbaseline 1362162364
MB171 307540059509370880 45 10.932318 qlbaseline 1362158238
MB171 307549156946358273 46 10.932318 qlbaseline 1362160407
MB171 307431003394281472 47 10.932318 qlbaseline 1362132237
MB171 307364469183483906 48 10.932318 qlbaseline 1362116374
MB171 307386992583385088 49 10.923351 qlbaseline 1362121744
MB171 307390255743528960 50 10.923351 qlbaseline 1362122522
MB171 307380759835062272 51 10.923351 qlbaseline 1362120258
MB171 307581469876944897 52 10.923351 qlbaseline 1362168111
MB171 307551639986905088 53 10.923351 qlbaseline 1362160999
MB171 307556949975773185 54 10.923351 qlbaseline 1362162265
MB171 307296328499724288 55 10.923351 qlbaseline 1362100128
MB171 307009861714067456 56 10.908537 qlbaseline 1362031829
MB171 307496241623883776 57 10.726896 qlbaseline 1362147791
MB171 299960058773663744 58 10.724401 qlbaseline 1360351025
MB171 302903789118173185 59 10.719818 qlbaseline 1361052865
MB171 307491908907855873 60 10.719818 qlbaseline 1362146758
MB171 298537912893595649 61 10.717865 qlbaseline 1360011959
MB171 298251752334057472 62 10.709949 qlbaseline 1359943733
MB171 299457396642816000 63 10.700074 qlbaseline 1360231181
MB171 298094960853544961 64 10.700074 qlbaseline 1359906351
MB171 300854120829550592 65 10.046492 qlbaseline 1360564186
MB171 300773950886133761 66 10.045341 qlbaseline 1360545072
MB171 301882840977657856 67 10.045341 qlbaseline 1360809452
MB171 300274514149920768 68 10.045341 qlbaseline 1360425997
MB171 300115747156422656 69 10.045341 qlbaseline 1360388144
MB171 302760775909519360 70 10.045341 qlbaseline 1361018768
MB171 306300697182343169 71 10.044363 qlbaseline 1361862751
MB171 306879628583239680 72 10.044363 qlbaseline 1362000779
MB171 298117098381639680 73 10.044363 qlbaseline 1359911629
